,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
14296,CW,Curacao,"Immunization, measles (% of children ages 12-23 months)",2019,,Latin America & Caribbean ,High income,Not classified,,
14297,CW,Curacao,"Immunization, measles (% of children ages 12-23 months)",2018,,Latin America & Caribbean ,High income,Not classified,,
14298,CW,Curacao,"Immunization, measles (% of children ages 12-23 months)",2017,,Latin America & Caribbean ,High income,Not classified,,
14299,CW,Curacao,"Immunization, measles (% of children ages 12-23 months)",2016,,Latin America & Caribbean ,High income,Not classified,,
14300,CY,Cyprus,"Immunization, measles (% of children ages 12-23 months)",2025,,Europe & Central Asia,High income,Not classified,33.3736,35.1676
14301,CY,Cyprus,"Immunization, measles (% of children ages 12-23 months)",2024,99.0,Europe & Central Asia,High income,Not classified,33.3736,35.1676
14302,CY,Cyprus,"Immunization, measles (% of children ages 12-23 months)",2023,82.0,Europe & Central Asia,High income,Not classified,33.3736,35.1676
14303,CY,Cyprus,"Immunization, measles (% of children ages 12-23 months)",2022,84.0,Europe & Central Asia,High income,Not classified,33.3736,35.1676
14304,CY,Cyprus,"Immunization, measles (% of children ages 12-23 months)",2021,86.0,Europe & Central Asia,High income,Not classified,33.3736,35.1676
14305,CY,Cyprus,"Immunization, measles (% of children ages 12-23 months)",2020,86.0,Europe & Central Asia,High income,Not classified,33.3736,35.1676
14306,CY,Cyprus,"Immunization, measles (% of children ages 12-23 months)",2019,86.0,Europe & Central Asia,High income,Not classified,33.3736,35.1676
14307,CY,Cyprus,"Immunization, measles (% of children ages 12-23 months)",2018,90.0,Europe & Central Asia,High income,Not classified,33.3736,35.1676
14308,CY,Cyprus,"Immunization, measles (% of children ages 12-23 months)",2017,90.0,Europe & Central Asia,High income,Not classified,33.3736,35.1676
14309,CY,Cyprus,"Immunization, measles (% of children ages 12-23 months)",2016,90.0,Europe & Central Asia,High income,Not classified,33.3736,35.1676
14310,CZ,Czechia,"Immunization, measles (% of children ages 12-23 months)",2025,,Europe & Central Asia,High income,Not classified,14.4205,50.0878
14311,CZ,Czechia,"Immunization, measles (% of children ages 12-23 months)",2024,89.0,Europe & Central Asia,High income,Not classified,14.4205,50.0878
14312,CZ,Czechia,"Immunization, measles (% of children ages 12-23 months)",2023,87.0,Europe & Central Asia,High income,Not classified,14.4205,50.0878
14313,CZ,Czechia,"Immunization, measles (% of children ages 12-23 months)",2022,97.0,Europe & Central Asia,High income,Not classified,14.4205,50.0878
14314,CZ,Czechia,"Immunization, measles (% of children ages 12-23 months)",2021,97.0,Europe & Central Asia,High income,Not classified,14.4205,50.0878
14315,CZ,Czechia,"Immunization, measles (% of children ages 12-23 months)",2020,94.0,Europe & Central Asia,High income,Not classified,14.4205,50.0878
14316,CZ,Czechia,"Immunization, measles (% of children ages 12-23 months)",2019,92.0,Europe & Central Asia,High income,Not classified,14.4205,50.0878
14317,CZ,Czechia,"Immunization, measles (% of children ages 12-23 months)",2018,96.0,Europe & Central Asia,High income,Not classified,14.4205,50.0878
14318,CZ,Czechia,"Immunization, measles (% of children ages 12-23 months)",2017,97.0,Europe & Central Asia,High income,Not classified,14.4205,50.0878
14319,CZ,Czechia,"Immunization, measles (% of children ages 12-23 months)",2016,98.0,Europe & Central Asia,High income,Not classified,14.4205,50.0878
14320,DK,Denmark,"Immunization, measles (% of children ages 12-23 months)",2025,,Europe & Central Asia,High income,Not classified,12.5681,55.6763
14321,DK,Denmark,"Immunization, measles (% of children ages 12-23 months)",2024,94.0,Europe & Central Asia,High income,Not classified,12.5681,55.6763
14322,DK,Denmark,"Immunization, measles (% of children ages 12-23 months)",2023,95.0,Europe & Central Asia,High income,Not classified,12.5681,55.6763
14323,DK,Denmark,"Immunization, measles (% of children ages 12-23 months)",2022,95.0,Europe & Central Asia,High income,Not classified,12.5681,55.6763
14324,DK,Denmark,"Immunization, measles (% of children ages 12-23 months)",2021,95.0,Europe & Central Asia,High income,Not classified,12.5681,55.6763
14325,DK,Denmark,"Immunization, measles (% of children ages 12-23 months)",2020,94.0,Europe & Central Asia,High income,Not classified,12.5681,55.6763
14326,DK,Denmark,"Immunization, measles (% of children ages 12-23 months)",2019,96.0,Europe & Central Asia,High income,Not classified,12.5681,55.6763
14327,DK,Denmark,"Immunization, measles (% of children ages 12-23 months)",2018,95.0,Europe & Central Asia,High income,Not classified,12.5681,55.6763
14328,DK,Denmark,"Immunization, measles (% of children ages 12-23 months)",2017,97.0,Europe & Central Asia,High income,Not classified,12.5681,55.6763
14329,DK,Denmark,"Immunization, measles (% of children ages 12-23 months)",2016,94.0,Europe & Central Asia,High income,Not classified,12.5681,55.6763
14330,DJ,Djibouti,"Immunization, measles (% of children ages 12-23 months)",2025,,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IDA,43.1425,11.5806
14331,DJ,Djibouti,"Immunization, measles (% of children ages 12-23 months)",2024,75.0,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IDA,43.1425,11.5806
14332,DJ,Djibouti,"Immunization, measles (% of children ages 12-23 months)",2023,76.0,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IDA,43.1425,11.5806
14333,DJ,Djibouti,"Immunization, measles (% of children ages 12-23 months)",2022,50.0,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IDA,43.1425,11.5806
